id_anon,cluster
10951000402,0
10951000403,7
10951003402,0
10951003403,7
10951009202,1
10951009303,2
10951009402,9
10951023902,3
10951031203,3
10951032203,2
10951034502,9
10951034503,0
10951035503,9
10951035504,9
11180012904,1
11180014504,0
11180018002,0
11180018003,7
11180019904,3
11180019905,7
11180020004,5
11180030806,4
11180038403,0
11180049903,2
11180053604,3
11180058402,0
10215000103,8
10215001304,3
10215004606,3
10215007202,9
10215009005,1
10215009006,9
10215015904,0
10215017305,0
10215044602,0
10215044804,2
10215050003,1
10406009203,2
10406010202,6
10406016603,3
10406019804,1
10406019806,1
10406025005,0
10406027702,4
10406035606,6
10406036206,0
10406040904,2
10406043403,1
10414007504,4
10414009804,4
10414010704,0
10414010705,4
10414025806,0
10414025807,4
10414030203,0
10414033203,3
10414034903,0
10414039103,0
10414040105,1
10414053003,0
10414053004,0
10069002602,9
10069004804,1
10069006602,1
10069008603,7
10069010103,9
10069014803,2
10069022803,6
10069022804,1
10069032003,0
10069032004,7
10804109205,2
10804109503,3
10055014903,3
10055016506,0
10055026403,3
10055035003,0
10055035004,0
10055040403,1
10055041605,3
10055044405,0
10055044406,2
10055050902,0
10055051704,1
10055053704,7
10055053705,0
11273004105,0
11273011103,3
11273021105,5
11273021505,0
11273025404,0
11273026602,3
11273029003,0
11273030203,2
11273033205,3
11273036303,0
11273036304,0
10908005903,3
10908006203,6
10908006704,6
10908007703,3
10908009503,1
10908011703,1
10908011803,7
10908011804,4
10908018703,9
10908020403,3
10908022503,7
10060001805,4
10060002403,3
10060002404,3
10060005003,6
10060005103,2
10060005104,7
10060007203,9
10060007204,4
10060017702,0
10060033103,8
10060035603,6
10060035904,7
10060035905,4
10060036403,3
10268012102,2
10268012802,4
10268017502,0
10268022202,2
10268022203,4
10268030702,3
10268030703,3
10268041602,3
10268042503,0
10268043506,4
10268043602,4
10268044403,3
10268044406,9
10299005404,3
10299009407,9
10299013403,1
10299014206,0
10299014903,3
10299014904,0
10299016104,1
10299023402,3
10299026502,7
10299026903,9
10299027805,1
11240020403,2
11240020404,9
11240028904,3
11240029704,0
11240033204,3
11240034805,3
11240039602,0
11240039603,0
11240039702,8
11240040002,9
11240040103,3
11240044403,4
10763010202,3
10763011902,2
10763011903,0
10763014602,3
10763026702,0
10763026703,4
10763034102,6
10763045103,3
10763046203,1
10763056602,0
10763060402,7
10763060802,7
10282001203,4
10282018302,4
10282018402,0
10282019304,1
10282028905,3
10282028906,0
10282040903,1
10282042102,1
10282047808,1
10282053602,7
10282055104,1
11219002206,5
11219007104,0
11219007107,4
11219009603,5
11219031104,0
11219031105,2
11219034504,8
11219034505,8
11219035804,1
11219040003,2
11219040103,4
11219042503,1
11219045103,1
10740006404,9
10740006406,5
10740017303,1
10740017304,9
10740024504,8
10740024505,4
10740026404,5
10740044403,4
10740050304,6
10740056304,8
10740057603,1
10740059903,3
10740059904,3
10740061607,1
10543000102,9
10543001203,9
10543002005,4
10543003103,8
10543003204,5
10543007302,5
10543008703,7
10543010803,7
10543011705,2
10543012202,4
10853001104,3
10853001304,0
10853004904,5
10853006405,9
10853006502,9
10853008304,0
10853011805,9
10853012408,6
10853014803,4
10853014903,8
11317001303,9
11317001404,0
11317002705,8
11317002706,8
11317004207,2
11317010602,7
11317012304,1
11317012305,5
11317013003,4
11317013704,9
11317013903,8
11317018404,9
10002000105,5
10002000203,5
10002009102,7
10002013303,9
10002014404,7
10002015403,9
10002015404,7
10002015502,7
10002020405,9
10002022304,5
10002023302,3
11072001205,1
11072003704,9
11072003803,7
11072005804,9
11072005905,7
11072007205,7
11072008204,9
11072009902,6
11072013803,6
11072015007,9
11072015008,5
10725010604,4
10725013104,8
10725016205,4
10725020904,1
10725022405,1
10725030206,8
10725032703,8
10725035103,3
10725035104,4
10725037403,5
10725038404,3
10459007603,5
10459010606,9
10459011304,0
10459012305,9
10459012404,6
10459014302,9
10459016304,9
10459017707,4
10459024603,9
10459026102,8
10226004004,9
10226047504,9
10226048503,7
10226050505,3
10226057803,3
10226066402,3
10226067304,8
10226070904,9
10226070905,9
10226075203,0
10226075204,0
10226076003,9
10226076006,4
11016006505,0
11016015503,2
11016017104,1
11016026304,0
11016026903,8
11016026904,8
11016030604,8
11016043805,5
11016045103,5
11016045104,5
11016055904,0
11016056303,0
11381000104,0
11381000203,9
11381000204,2
11381000806,6
11381002204,6
11381003102,9
11381004703,6
11381006402,9
11381013002,9
11381015603,1
11381020103,0
11041001106,4
11041001503,7
11041001703,0
11041009403,7
11041011602,9
11041013305,5
11041015203,0
11041015807,0
11041018102,9
11041019703,9
11224010205,7
11224015202,0
11224024505,7
11224024804,3
11224025803,5
11224032004,2
11224032303,3
11224032304,0
11224034403,5
11224035803,4
11224037503,3
10396001704,5
10396006304,8
10396006602,7
10396009706,5
10396009709,9
10396010603,1
10396011304,8
10396013602,0
10396014104,7
10396021204,4
10396023704,3
11079005005,3
11079010603,1
11079010604,1
11079011303,6
11079013805,5
11079013904,3
11079014903,8
11079018303,8
11079023802,0
11079023803,0
11079029003,4
11079031504,3
10474015505,9
10474039903,2
10474042204,9
10474045903,5
10474048003,8
10474054903,9
10474056106,6
10474056107,9
10474056206,9
10474065503,6
10474072006,9
10012003604,5
10012003803,4
10012004503,0
10012007807,8
10012012503,8
10012019204,1
10012027702,7
10012031704,7
10012033506,7
10012033508,3
10012034707,5
10056003303,5
10056005702,1
10056007505,2
10056011103,7
10056013303,5
10056020903,9
10056020904,9
10056022107,6
10056022108,6
10056022109,6
10056022204,7
10056027005,2
10056028704,5
10706004503,9
10706005209,0
10706005402,9
10706006204,9
10706007702,0
10706009402,9
10706010104,9
10706011104,9
10706013205,9
10706018502,9
10706018503,2
10213004405,4
10213008905,2
10213009904,5
10213012003,9
10213012004,9
10213018003,9
10213021602,9
10213029104,1
10213030304,2
10213039002,3
10213047003,0
11243024306,9
11243026703,8
11243026704,4
11243027404,1
11243037303,5
11243055603,5
11243066404,0
11243070103,8
11243071603,9
11243079203,2
11243085004,7
10031000505,5
10031000506,8
10031009002,8
10031039403,8
10031044503,1
10031044603,8
10031044604,4
10031048604,6
10031065704,6
10031067804,8
10031081404,0
10031082405,5
10883006103,7
10883011804,5
10883013604,5
10883023204,5
10883023303,5
10883026604,2
10883026805,5
10883027603,6
10883037807,1
10883041503,4
10883041504,3
10278005403,7
10278008105,6
10278013903,6
10278014104,5
10278014402,3
10278016202,6
10278017703,2
10278018603,2
10278019502,6
10278021603,5
10882002504,9
10882002506,9
10882011506,9
10882016703,0
10882037403,5
10882037504,5
10882038504,5
10882039504,8
10882040103,5
10882041802,5
10882043005,9
10882043006,4
11141001002,8
11141029604,7
11141040203,7
11141040204,2
11141041402,0
11141044107,0
11141044204,5
11141047106,9
11141047204,1
11141048103,3
11141048105,8
11141049104,9
11290003104,8
11290006802,9
11290025002,1
11290025503,1
11290025504,1
11290027602,6
11290027704,6
11290034305,4
11290038105,1
11290040904,1
11290047804,5
10672001004,8
10672003602,9
10672003702,9
10672003703,8
10672004704,5
10672007803,8
10672007904,2
10672013904,5
10672025103,2
10672032002,1
10672032102,8
11173002004,6
11173011705,9
11173013803,9
11173013804,1
11173018102,3
11173028504,8
11173031804,9
11173041604,8
11173043806,5
11173048104,8
11173048105,8
11173050403,8
10506000104,4
10506000203,0
10506009604,5
10506012804,1
10506029803,1
10506031403,2
10506032604,1
10506033503,5
10506033504,5
10506035602,6
10506036404,7
10130007002,5
10130007203,5
10130007503,2
10130008605,2
10130019502,8
10130019603,0
10130019702,8
10130021803,8
10130025204,7
10130026704,5
10045013304,6
10045034203,0
10045037405,9
10045038504,3
10045041303,8
10045042404,7
10045045503,2
10045052104,7
10045057204,4
10045058603,9
10815025704,3
10815028004,1
10815036203,2
10815038204,9
10815038205,4
10815064803,8
10815069704,2
10815070503,2
10815073904,8
10815073905,1
10815090405,1
10815094703,2
10817001203,6
10817011605,5
10817012804,8
10817012805,6
10817015702,2
10817023502,3
10817027503,6
10817032302,4
10817039402,5
10817053103,4
10817054003,2
10417004703,5
10417005603,0
10417006404,4
10417008203,1
10417008204,8
10417012402,5
10417012504,8
10417014803,4
10417019204,5
10417032102,8
10417034903,1
10104004703,5
10104032603,5
10104032604,2
10104033904,6
10104035203,8
10104036411,5
10104037603,4
10104040502,9
10104040603,9
10104041703,2
10104044404,0
11357008804,1
11357009803,9
11357010904,1
11357019002,2
11357021604,5
11357036603,9
11357040103,6
11357041504,9
11357043603,1
11357044804,4
11296018803,8
11296025604,8
11296029003,6
11296046705,9
11296049102,1
11296049505,7
11296051403,8
11296053803,5
11296055403,8
11296056908,8
10609001105,2
10609011503,5
10609017603,7
10609021203,1
10609031404,2
10609032402,8
10609033803,9
10609047506,2
10609047507,2
10609051402,8
10609051705,9
10237001703,5
10237002706,7
10237008303,5
10237015006,8
10237019604,7
10237039003,1
10237039004,1
10237039103,2
10237039202,6
10237041703,1
10237041704,1
10237045706,4
10220020106,3
10220022602,3
10220040802,8
10220042604,0
10220047402,4
